N,P,K,temperature,humidity,ph,rainfall,label
95.78404815155453,20.38868123186191,48.61694866931046,28.977689830597786,93.91213143814471,6.648207597563052,26.079991758789056,muskmelon
119.03663496458842,29.84348944328422,49.839109927037065,25.8420149892567,85.46482771672417,6.126710614691666,54.83393658019617,watermelon
37.52956043236423,69.10467779967257,45.524352552275815,40.3332793665489,94.36852602041527,6.869270043478813,150.03673209500585,papaya
69.40308339117878,56.63216089254868,50.74259153281252,24.117230561860026,93.09402970365699,6.74856647324213,131.59869256301317,papaya
22.987288387707,129.59975713608762,199.54692065802132,22.458418152939167,94.79960526042413,5.901703390646406,119.28399150343822,apple
22.48216468894077,19.73868839902307,27.071193153733564,31.875323880877907,54.38923227994742,4.802009903498146,88.20669980040401,mango
0.5026889869423856,128.51489944749378,198.46366314758575,22.33314919065934,92.30973775887325,6.2425711564643285,105.26593486447639,apple
32.94753603700809,59.52832994038241,15.088036962950374,29.351507743955093,51.14168115711731,9.37922698017,57.61654936773574,mothbeans
9.950521162160534,50.6331263384788,16.78897891628917,29.247583073932116,84.15184600249741,6.305514181899156,50.96560749720105,mungbean
25.90560793845405,57.268237623559344,19.797829513924988,21.65803922669317,67.03304487908504,7.473220855831174,49.94573393220605,lentil
37.952824944854996,71.96233513125938,24.617627228070305,31.828763109137917,60.4101761503044,7.693025783379982,69.56136226883099,blackgram
14.930698471844593,27.54552233429109,32.26198602847934,27.703835075560796,93.20711238199435,6.13931418468645,168.66515633856102,coconut
24.23258931482119,26.03682416294696,41.622234344403545,23.64508965855862,91.9068245528234,6.840964608205241,103.59513743813889,pomegranate
72.3796969645873,48.55798853404028,40.48680667869915,23.2743590794869,89.65627210670242,7.3098317398291925,192.65151431303576,jute
39.833498194868035,6.103077619061038,30.632119688048398,29.284991079395432,95.58944396318095,6.202946934763548,205.236558407504,coconut
37.21307764624856,26.947418799267123,36.31919533682227,19.903904320758084,90.30423800892603,5.741052747835891,101.75263084246996,pomegranate
12.00693191293745,144.26914180237605,203.77432713168136,23.28951897326308,94.50432762231254,6.006960757880325,110.52464962487933,apple
91.67271189061434,57.39691913892007,19.497337036509062,25.28834325928174,68.0367490929722,6.143053525760857,83.78145139715348,maize
60.19083385444205,68.98270837376698,48.22759777426178,25.341092653465157,92.90923417771337,6.954415163048056,187.0479432112323,papaya
117.20500662024625,23.5713498109943,46.26397951464793,27.102227006119307,92.15709932237608,6.55203725199065,29.899334838465954,muskmelon
91.76066026397604,16.0750314170641,33.1746131997195,25.155798721141807,55.695212482650405,6.079350183567116,150.65647779733038,coffee
61.10523087733905,61.726709140107275,45.25640571236905,34.90552994456508,90.12072211617684,6.972974879029998,60.74888208045165,papaya
12.873831816762191,24.772999246121632,8.256851327275347,23.999306548203705,90.99726072689424,6.3224697815353705,112.54415133298596,orange
69.90421227567174,60.08290170873225,50.990469818196075,30.613537006580415,94.34680643863847,6.832455305362239,215.7089146028146,papaya
34.17147954579251,74.29974460371852,82.20924561327293,19.573236399997846,18.159879860178926,7.635268030275631,70.7679250741014,chickpea
75.87920725412678,45.75026896740566,44.586374467321164,26.209564709761256,75.47269411910439,7.221637016901678,177.3272964879561,jute
21.942536015167544,40.92847881268863,19.713453647384554,28.839252129415343,83.65924151121926,6.698770016610197,40.26331205276641,mungbean
38.49896105225154,5.172082846725094,5.3232256831246305,26.92180939136943,94.33531357049075,7.493301825264944,117.93253455892007,orange
19.854188534723708,60.19234960679037,24.331243446518776,24.61207232393403,30.109519962295707,6.514899397395615,189.75680486967713,pigeonpeas
66.65244442415656,47.14102813626796,37.137472991991814,23.208322340395622,80.29317699986089,5.94743279744229,297.7963265669589,rice
24.99855503897942,16.33071513316785,42.634422149327584,19.083605105320956,85.18603322117357,6.695663797688343,112.94064710138801,pomegranate
28.67151657877372,37.6941436821873,19.144703451283302,31.413012244298486,60.936655937161625,7.327272201336359,64.74653281367529,mothbeans
61.76074249378463,47.26270885211322,43.37901429871472,23.558849716272057,85.80056268282351,7.0481632795510745,154.46915459556695,jute
15.655392784890822,67.36727826130485,24.708707584276624,25.403276116533974,63.527637702708745,7.7489007722899785,41.40965566954374,lentil
73.09506707444582,52.24094446183862,40.538723872581585,25.271804253497606,70.02921037093091,6.290128706254496,155.4233117895644,jute
21.712581338139728,57.95467771807279,23.071037058074022,31.673164183133814,64.58370364756061,7.381501170480698,73.11383089459255,blackgram
82.33049495816935,50.452277540243614,42.86523222913899,23.067977451454595,82.48796280899849,6.954367462021546,196.9298511207686,jute
38.495132229556944,75.17288381385981,82.23280079825003,18.58379483981303,18.898719355598782,8.110315689911355,82.34933795177106,chickpea
47.06488983130183,64.49235463435956,84.80160537321362,20.273509840522248,19.727653180348767,8.316155418847996,73.71357955978807,chickpea
39.609321265589095,60.646431315685554,21.840416254703854,23.478671020315357,22.576150036914072,5.929109579510594,128.36272651591602,kidneybeans
43.805850142279596,69.69943699179171,49.549842810565906,42.30795697026038,90.76568959110317,6.768227338341789,115.62838090215895,papaya
32.79053182743059,20.927508890020462,26.880736510579833,29.697383066302287,53.32627804690696,6.89355732005477,94.03216580510929,mango
38.597453092619645,56.955865048497316,23.899154783045546,25.88446350732679,64.72451572348646,7.464191943875387,74.40616570436029,blackgram
67.02779207503369,44.5051861428809,22.036712633826635,22.50236111900592,71.66708404839757,7.112400373133528,63.60377482960789,maize
9.849833620284523,36.791099508527125,22.767718987916837,27.970234923468634,89.24138080895082,6.2895946481267355,51.79368883624338,mungbean
73.33448144242226,49.56848786466049,16.41428380584318,21.1483870878226,74.35393015385489,6.8969599256237615,79.59789921676801,maize
8.776463441756995,76.16262726162833,22.973906873794085,25.0960926913032,63.56889009223637,7.035662707098842,109.3710404337989,pigeonpeas
31.651263168437982,11.90525913832851,26.430833590312485,29.23886391437647,90.5902125294318,5.74658561664323,190.1416329688583,coconut
81.30398114235977,23.156494041918716,48.8108966322699,29.993462554720313,90.39222486150187,6.061849152795226,29.355178698325112,muskmelon
96.51719513936672,46.536197354469586,16.174661490895577,25.489288563920113,64.9675100941439,6.933206651983582,85.44360075347558,maize
41.91796069116005,79.34729328050737,18.838164587770397,28.4071415817915,68.13915704891531,7.268261258754827,71.76470964925795,blackgram
92.60295238598593,32.72195140312992,28.94720000985645,24.109394125890173,52.828321577004786,6.15326349165355,118.51173999918623,coffee
